Pavarde           Vardas            Egzaminas         Galutinis (Med.)  Galutinis (Vid.)
----------------------------------------------------------------------------------------
Pavarde1          Vardas1           7.00              6.60              6.12              
Pavarde2          Vardas2           5.00              4.60              5.16              
Pavarde4          Vardas4           8.00              7.20              7.28              
Pavarde5          Vardas5           7.00              5.80              6.12              
Pavarde7          Vardas7           7.00              6.60              6.12              
Pavarde11         Vardas11          6.00              6.00              5.92              
Pavarde12         Vardas12          9.00              7.40              7.48              
Pavarde13         Vardas13          9.00              7.80              7.24              
Pavarde16         Vardas16          6.00              5.20              5.28              
Pavarde17         Vardas17          7.00              7.00              7.08              
Pavarde18         Vardas18          7.00              5.00              5.32              
Pavarde19         Vardas19          9.00              7.80              7.40              
Pavarde20         Vardas20          9.00              8.60              7.96              
Pavarde23         Vardas23          10.00             8.40              8.08              
Pavarde25         Vardas25          4.00              5.20              5.12              
Pavarde26         Vardas26          8.00              6.40              6.80              
Pavarde27         Vardas27          7.00              7.80              6.84              
Pavarde29         Vardas29          4.00              6.00              5.52              
Pavarde30         Vardas30          9.00              8.20              7.80              
Pavarde34         Vardas34          4.00              6.00              5.36              
Pavarde35         Vardas35          8.00              7.60              6.96              
Pavarde36         Vardas36          8.00              6.00              6.40              
Pavarde37         Vardas37          9.00              6.60              7.40              
Pavarde38         Vardas38          8.00              7.60              7.44              
Pavarde39         Vardas39          8.00              8.40              7.52              
Pavarde41         Vardas41          7.00              7.40              6.84              
Pavarde45         Vardas45          5.00              5.80              5.40              
Pavarde46         Vardas46          8.00              5.60              5.92              
Pavarde49         Vardas49          5.00              5.40              5.24              
Pavarde51         Vardas51          10.00             8.00              7.68              
Pavarde53         Vardas53          5.00              5.80              5.00              
Pavarde55         Vardas55          6.00              6.40              6.48              
Pavarde57         Vardas57          7.00              5.00              6.04              
Pavarde59         Vardas59          10.00             7.60              8.00              
Pavarde61         Vardas61          10.00             8.00              8.16              
Pavarde64         Vardas64          8.00              7.20              7.04              
Pavarde65         Vardas65          4.00              6.00              5.36              
Pavarde66         Vardas66          5.00              5.80              5.96              
Pavarde68         Vardas68          10.00             8.40              8.24              
Pavarde69         Vardas69          8.00              5.20              5.68              
Pavarde70         Vardas70          5.00              5.40              5.64              
Pavarde71         Vardas71          8.00              6.40              6.64              
Pavarde74         Vardas74          8.00              8.00              7.52              
Pavarde75         Vardas75          8.00              6.40              6.56              
Pavarde76         Vardas76          10.00             7.20              6.96              
Pavarde77         Vardas77          7.00              5.80              5.96              
Pavarde80         Vardas80          6.00              5.20              5.12              
Pavarde84         Vardas84          7.00              6.20              6.04              
Pavarde88         Vardas88          10.00             8.80              8.24              
Pavarde91         Vardas91          10.00             8.00              7.60              
Pavarde92         Vardas92          4.00              5.20              5.12              
Pavarde93         Vardas93          9.00              7.40              7.16              
Pavarde94         Vardas94          6.00              4.80              5.52              
Pavarde95         Vardas95          9.00              8.20              7.40              
Pavarde96         Vardas96          6.00              6.00              5.84              
Pavarde97         Vardas97          10.00             8.40              8.00              
Pavarde99         Vardas99          9.00              7.40              7.64              
Pavarde102        Vardas102         7.00              6.60              6.68              
Pavarde104        Vardas104         6.00              5.20              5.68              
Pavarde105        Vardas105         10.00             8.40              8.40              
Pavarde109        Vardas109         8.00              6.00              6.24              
Pavarde110        Vardas110         5.00              6.20              5.64              
Pavarde111        Vardas111         7.00              7.00              7.24              
Pavarde113        Vardas113         8.00              7.20              6.88              
Pavarde114        Vardas114         10.00             7.20              7.60              
Pavarde115        Vardas115         8.00              6.00              6.00              
Pavarde116        Vardas116         5.00              5.00              5.40              
Pavarde117        Vardas117         9.00              7.00              7.16              
Pavarde118        Vardas118         9.00              9.00              8.28              
Pavarde119        Vardas119         7.00              6.20              6.76              
Pavarde120        Vardas120         5.00              6.20              5.32              
Pavarde122        Vardas122         10.00             8.00              8.16              
Pavarde124        Vardas124         6.00              5.20              5.68              
Pavarde126        Vardas126         9.00              7.80              7.96              
Pavarde127        Vardas127         6.00              4.80              5.76              
Pavarde130        Vardas130         5.00              5.40              5.56              
Pavarde131        Vardas131         9.00              7.80              7.72              
Pavarde133        Vardas133         10.00             7.20              7.68              
Pavarde134        Vardas134         6.00              6.80              6.48              
Pavarde135        Vardas135         6.00              6.80              6.08              
Pavarde136        Vardas136         7.00              7.40              7.48              
Pavarde139        Vardas139         9.00              8.60              8.36              
Pavarde140        Vardas140         9.00              9.00              8.36              
Pavarde142        Vardas142         8.00              6.80              6.96              
Pavarde145        Vardas145         7.00              6.60              6.20              
Pavarde146        Vardas146         8.00              6.80              7.04              
Pavarde149        Vardas149         9.00              9.00              8.60              
Pavarde150        Vardas150         7.00              7.40              6.76              
Pavarde151        Vardas151         9.00              8.60              7.88              
Pavarde152        Vardas152         6.00              5.20              5.44              
Pavarde154        Vardas154         8.00              7.60              7.12              
Pavarde155        Vardas155         10.00             8.00              7.60              
Pavarde157        Vardas157         10.00             9.60              9.04              
Pavarde159        Vardas159         8.00              7.20              6.96              
Pavarde160        Vardas160         5.00              7.00              6.60              
Pavarde161        Vardas161         5.00              5.40              5.72              
Pavarde162        Vardas162         10.00             8.80              8.48              
Pavarde163        Vardas163         7.00              7.00              6.52              
Pavarde166        Vardas166         8.00              6.40              6.80              
Pavarde167        Vardas167         6.00              5.60              5.76              
Pavarde169        Vardas169         7.00              5.00              6.04              
Pavarde171        Vardas171         9.00              7.00              6.92              
Pavarde172        Vardas172         5.00              5.80              5.72              
Pavarde173        Vardas173         8.00              8.40              8.08              
Pavarde175        Vardas175         5.00              5.80              5.80              
Pavarde177        Vardas177         8.00              8.00              8.00              
Pavarde178        Vardas178         7.00              5.40              5.72              
Pavarde179        Vardas179         7.00              5.80              6.36              
Pavarde180        Vardas180         7.00              5.80              5.72              
Pavarde185        Vardas185         5.00              4.60              5.08              
Pavarde186        Vardas186         10.00             8.80              8.56              
